fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"TS_COV_20(ts_max_20(ts_sum_17(ts_prod_3(ts_skew_10(ma15_c)))), tanh(ma8_c))",5,8,alpha_1,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_prod_8(ts_argrange_10(ta_tsf_10(v_cmo_14_obv))),3,4,alpha_2,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_intercept_20(ts_range_10(ts_argmax_10(ts_argmin_5(ta_dx_14(div(ori_rsi_12, c_power_c), ta_minus_dm_14(close_macd, sarext), ta_atr_25(o_ts_range_10, v_rsi_12_sum, v_ts_std_20))))))",6,15,alpha_3,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_20(ta_lr_intercept_5(ta_tsf_5(ta_trix_8(ts_wma_8(toptrader_oi_lsr))))),5,6,alpha_4,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_40(ts_skew_10(ts_sma_55(toptrader_count_lsr))),3,4,alpha_5,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_ema_55(ta_beta_5(ta_dema_21(cci_14), elu(sub(close_macd, ma8_c))))",4,8,alpha_6,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ts_range_5(ts_argrange_20(ta_mom_25(ta_cci_14(ad_index, cci_25, h)))), ta_lr_slope_5(ts_range_20(ts_min_10(ta_dx_14(sarext, h_ta_lr_angle_10, ma35_c)))))",5,15,alpha_7,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_lag_17(ts_range_10(abs(ta_dema_21(ts_wma_8(v_trix_8_obv))))),5,6,alpha_8,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_25(TS_CORR_20(ts_argmax_10(ts_sma_55(ori_trix_55)), ts_delta_3(ta_cci_25(ta_rsi_24(ta_dema_55(ta_ema_8(ts_lag_8(v_power_a)))), v_ts_sma_21, stdevrate))))",8,14,alpha_9,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_rocp_14(l_line), tanh(oi))",2,5,alpha_10,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_delta_3(ta_tsf_20(ts_delta_8(ad_index))),3,4,alpha_11,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_rsi_6(v_rsi_12_sum), ts_std_40(ts_sum_8(toptrader_oi_lsr)))",3,6,alpha_12,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ts_argrange_10(add(TA_HT_DCPHASE(ta_lr_intercept_5(ori_ta_obv)), neg(ta_dema_21(oi)))), ta_lr_angle_20(ts_kurt_20(ta_dema_8(TS_CORR_20(toptrader_oi_lsr, o)))))",5,15,alpha_13,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_ema_55(v_power_a), ta_minus_dm_14(ts_wma_55(ori_cmo_25), sarext))",3,7,alpha_14,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ts_argrange_20(ts_wma_21(ta_willr_25(r, ori_ta_obv, toptrader_oi_lsr))), elu(ad_index))",4,9,alpha_15,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_5(ta_ema_8(sarext)),2,3,alpha_16,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(TS_COV_40(v_cmo_14_obv, TA_SAR(v_ts_std_20, v_rsi_6_sum)), ta_rsi_12(ts_rank_10(h_line)))",3,9,alpha_17,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,inv(ta_dema_8(v_bop_sum)),2,3,alpha_18,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(TA_TRANGE(ts_argmin_5(ts_wma_21(v_cci_25_obv)), taker_vol_lsr, v_rsi_6_obv))",4,7,alpha_19,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_minus_di_14(sub(ta_willr_14(ma8_c, stdevrate, fm60), ta_minus_dm_25(v_ts_range_5, ori_trix_8)), ts_kurt_40(ts_lag_17(ad_index)), ts_range_20(ta_cmo_25(fm60)))",3,15,alpha_20,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_cmo_14(ts_std_20(v_rsi_6_obv)),2,3,alpha_21,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_intercept_5(ta_lr_angle_5(TS_COV_20(ts_sum_3(sarext), ts_sum_8(ta_atr_25(v_trix_8_obv, ori_cmo_25, lgp_shortcut_illiq_6)))))",5,10,alpha_22,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trima_8(tanh(ta_willr_14(ts_lag_3(v_rsi_12_obv), TA_HT_DCPERIOD(vol), ta_atr_14(kdj_d, sarext, v_ts_sma_21))))",4,11,alpha_23,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argrange_20(ta_trima_8(ts_delta_8(obv_v))),3,4,alpha_24,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
