cusum_span,cusum_k,pt,sl,max_holding_days,max_holding_hours,cusum_events_count,barrier_events_count,take_profit_count,stop_loss_count,vertical_exit_count,take_profit_ratio_non_neutral,stop_loss_ratio_non_neutral,take_profit_ratio_total,stop_loss_ratio_total,vertical_exit_ratio_total
240,2.0,1.0,1.0,0,6,328,328,173,154,1,0.5290519877675841,0.4709480122324159,0.5274390243902439,0.4695121951219512,0.003048780487804878
240,2.0,1.0,1.0,0,10,328,328,169,158,1,0.5168195718654435,0.4831804281345566,0.5152439024390244,0.4817073170731707,0.003048780487804878
240,2.0,1.0,1.0,0,24,328,328,168,159,1,0.5137614678899083,0.48623853211009177,0.5121951219512195,0.4847560975609756,0.003048780487804878
360,2.0,1.0,1.0,0,6,324,324,166,158,0,0.5123456790123457,0.4876543209876543,0.5123456790123457,0.4876543209876543,0.0
240,2.0,1.2,1.0,0,6,328,328,166,161,1,0.5076452599388379,0.4923547400611621,0.5060975609756098,0.49085365853658536,0.003048780487804878
120,2.0,1.0,1.0,0,6,344,344,174,170,0,0.5058139534883721,0.4941860465116279,0.5058139534883721,0.4941860465116279,0.0
120,1.5,1.0,1.0,0,6,473,473,234,238,1,0.4957627118644068,0.5042372881355932,0.49471458773784355,0.5031712473572939,0.0021141649048625794
360,2.0,1.0,1.0,0,24,324,324,160,164,0,0.49382716049382713,0.5061728395061729,0.49382716049382713,0.5061728395061729,0.0
120,1.5,1.0,1.0,0,24,473,473,232,240,1,0.4915254237288136,0.5084745762711864,0.4904862579281184,0.507399577167019,0.0021141649048625794
360,2.0,1.0,1.0,0,10,324,324,159,165,0,0.49074074074074076,0.5092592592592593,0.49074074074074076,0.5092592592592593,0.0
360,2.0,1.2,1.0,0,6,324,324,159,165,0,0.49074074074074076,0.5092592592592593,0.49074074074074076,0.5092592592592593,0.0
240,2.5,1.0,1.0,0,6,263,263,129,134,0,0.49049429657794674,0.5095057034220533,0.49049429657794674,0.5095057034220533,0.0
240,2.0,1.2,1.0,0,10,328,328,160,167,1,0.4892966360856269,0.5107033639143731,0.4878048780487805,0.5091463414634146,0.003048780487804878
120,2.5,1.0,1.0,0,6,270,270,132,138,0,0.4888888888888889,0.5111111111111111,0.4888888888888889,0.5111111111111111,0.0
120,2.0,1.0,1.0,0,24,344,344,168,176,0,0.4883720930232558,0.5116279069767442,0.4883720930232558,0.5116279069767442,0.0
120,2.0,1.2,1.0,0,6,344,344,168,176,0,0.4883720930232558,0.5116279069767442,0.4883720930232558,0.5116279069767442,0.0
120,1.5,1.0,1.0,0,10,473,473,230,242,1,0.4872881355932203,0.5127118644067796,0.48625792811839325,0.5116279069767442,0.0021141649048625794
120,2.5,1.0,1.0,0,24,270,270,131,139,0,0.48518518518518516,0.5148148148148148,0.48518518518518516,0.5148148148148148,0.0
120,1.5,1.2,1.0,0,6,473,473,229,243,1,0.4851694915254237,0.5148305084745762,0.48414376321353064,0.5137420718816068,0.0021141649048625794
360,1.5,1.0,1.0,0,6,452,452,218,233,1,0.48337028824833705,0.516629711751663,0.4823008849557522,0.5154867256637168,0.0022123893805309734
240,2.0,1.2,1.0,0,24,328,328,158,169,1,0.4831804281345566,0.5168195718654435,0.4817073170731707,0.5152439024390244,0.003048780487804878
240,2.0,1.5,1.0,0,6,328,328,158,169,1,0.4831804281345566,0.5168195718654435,0.4817073170731707,0.5152439024390244,0.003048780487804878
240,2.5,1.0,1.0,0,24,263,263,127,136,0,0.4828897338403042,0.5171102661596958,0.4828897338403042,0.5171102661596958,0.0
